0,5737954.15162742,-937044.603978441,3289208.65467312,-3435.24084240655,2124.92744631586,6598.06309949633,5737954.10278294,-937044.573764845,3289208.74848866,-3435.24084240655,2124.92744631586,6598.06309949633,0.109999999863146,0,3300.00000410562,0.109999999863146
0.01,5737919.79885626,-937023.35465427,3289274.63504398,-3435.31339027295,2124.93738829459,6598.01107367787,5737919.74996721,-937023.32441311,3289274.72894511,-3435.32230111664,2124.94290025057,6598.02818872499,0.11010035429291,0.0200676264638113,3296.98937121269,0.11010035429291
0.02,5737885.44535959,-937002.105230661,3289340.61489465,-3435.38594531663,2124.94733471295,6597.95906164483,5737885.39633695,-937002.074906859,3289340.70905238,-3435.40375074525,2124.95834856779,6597.99326051092,0.110401230010309,0.0400986374969206,3287.96309969073,0.110401230010309
0.03,5737851.0911373,-936980.855707545,3289406.59422531,-3435.45851516028,2124.9572902861,6597.90707803813,5737851.04189226,-936980.825246175,3289406.68881021,-3435.48518268611,2124.97378594395,6597.95829832404,0.110902082779485,0.0600564846662088,3272.93751661544,0.110902082779485
0.04,5737816.73618921,-936959.606084809,3289472.57303635,-3435.53110739898,2124.96725971211,6597.85513744565,5737816.68663338,-936959.575431194,3289472.66821818,-3435.56658836411,2124.98920707478,6597.92328569419,0.111601995592696,0.0799047520072331,3251.94013221911,0.111601995592696
0.05,5737782.38051505,-936938.356362289,3289538.55132825,-3435.60372958611,2124.97724766325,6597.80325437517,5737782.33056061,-936938.325462105,3289538.6472757,-3435.64795925122,2125.00460668512,6597.88820624163,0.112499691500215,0.0996072234770907,3225.00925499355,0.112499691500215
0.06,5737748.02411449,-936917.106539778,3289604.52910167,-3435.67638921699,2124.98725877589,6597.75144322301,5737747.97367434,-936917.07533915,3289604.62598203,-3435.72928688494,2125.01997954036,6597.85304371247,0.113593534450704,0.119127961292379,3192.19396647889,0.113593534450704
0.07,5737713.66698712,-936895.856617021,3289670.5063574,-3435.74909372484,2124.99729764799,6597.69971826614,5737713.61597504,-936895.825062621,3289670.60433624,-3435.81056287293,2125.03532044927,6597.81778198755,0.114881526900641,0.138431325567804,3153.55419298078,0.114881526900641
0.08,5737679.30913244,-936874.606593716,3289736.48309637,-3435.82185045413,2125.00736882259,6597.64809361112,5737679.25746327,-936874.574632863,3289736.58233728,-3435.89177892299,2125.05062428257,6597.78240514011,0.11636131760181,0.157482101827769,3109.1604719457,0.11636131760181
0.09,5737644.95054991,-936853.356469522,3289802.45931966,-3435.89466664788,2125.01747678,6597.59658316962,5737644.89813969,-936853.324050275,3289802.55998391,-3435.97292685753,2125.06588598188,6597.74689746349,0.118030210508126,0.176245562158368,3059.09368475622,0.118030210508126
0.1,5737610.59123889,-936832.106244045,3289868.43502846,-3435.96754944519,2125.02762593623,6597.54520065374,5737610.538005,-936832.073315301,3289868.53727474,-3436.05399861624,2125.08110056136,6597.71124347626,0.119885158795784,0.194687476794076,3003.44523612649,0.119885158795784
